## 1. 계정 관리

| **점검항목** | **항목 중요도** | **항목코드** |
| 제어 네트워크에 연결되는 외부 정보통신기기 반출입 시 클린존 통과, 관리대장 작성 등 관리절차 마련 | 상 | C-46 |
| 제어시스템의 특성을 반영한 정보보안 정책, 지침을 수립 | 중 | C-47 |
| 제어시스템 운영 업무에 대해 표준 업무 절차서를 작성하고 적용 | 중 | C-48 |
| 제어시스템 유지보수를 위한 전용 장비(노트북 등)를 마련하고 관련 정책을 시행 | 하 | C-49 |
| 허가에 의한 로직 변경 정책 수립 | 상 | C-50 |

## 9. 교육 훈련

| **점검항목** | **항목 중요도** | **항목코드** |
| --- | --- | --- |
| 제어시스템 운전원, 관리자, 유지보수인력, 보안 인력에 대해 직무별 직무교육을 정기적으로 실시 | 하 | C-51 |
